"Story","Title","Result","Date","Stability","Duration (s)"
"Cancelación de clases","Cancelar una clase","ERROR","2025-05-30T23:53:27.213412-05:00[America/Bogota]","0.0","9.95"
"Visualización de información de clases","Ver detalles de una clase programada","ERROR","2025-06-04T18:22:33.0351862-05:00[America/Bogota]","0.0","14.06"
